AgeGroup,Average_Return
0-10 years,-5.83418649599534662
11-20 years,80.43633198164068476
21-30 years,103.59483217183007162
31-40 years,97.14498038858662787
41-50 years,75.00750205028165045
51-60 years,45.23279332938143096
61-70 years,380.97112908664263886
70+ years,-23.53723323880504026
